Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,FET Type,Technology,Drain to Source Voltage (Vdss),Current - Continuous Drain (Id) @ 25°C,"Drive Voltage (Max Rds On, Min Rds On)","Rds On (Max) @ Id, Vgs",Vgs(th) (Max) @ Id,Gate Charge (Qg) (Max) @ Vgs,Vgs (Max),Input Capacitance (Ciss) (Max) @ Vds,FET Feature,Power Dissipation (Max),Operating Temperature,Grade,Qualification,Mounting Type,Supplier Device Package,Package /Case
https://assets.nexperia.com/documents/data-sheet/2N7002BK.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6161/1727%7ESOT23-3%7E%7E3.jpg,"1727-4789-2-ND,1727-4789-1-ND,1727-4789-6-ND","2N7002BK,215",Nexperia USA Inc.,Nexperia USA Inc.,MOSFET N-CH 60V 350MA TO236AB,"4,79,873",8.56,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",TrenchMOS™,Active,N-Channel,MOSFET (Metal Oxide),60 V,350mA (Ta),10V,"1.6Ohm @ 500mA, 10V",2.1V @ 250µA,0.6 nC @ 4.5 V,±20V,50 pF @ 10 V,-,370mW (Ta),150°C (TJ),Automotive,AEC-Q101,Surface Mount,TO-236AB,"TO-236-3, SC-59, SOT-23-3"
https://assets.nexperia.com/documents/data-sheet/BSS138P.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6161/1727%7ESOT23-3%7E%7E3.jpg,"1727-1142-2-ND,1727-1142-1-ND,1727-1142-6-ND","BSS138P,215",Nexperia USA Inc.,Nexperia USA Inc.,MOSFET N-CH 60V 360MA TO236AB,"5,88,978",11.13,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",TrenchMOS™,Active,N-Channel,MOSFET (Metal Oxide),60 V,360mA (Ta),10V,"1.6Ohm @ 300mA, 10V",1.5V @ 250µA,0.8 nC @ 4.5 V,±20V,50 pF @ 10 V,-,"350mW (Ta), 1.14W (Tc)",-55°C ~ 150°C (TA),Automotive,AEC-Q101,Surface Mount,TO-236AB,"TO-236-3, SC-59, SOT-23-3"
https://assets.nexperia.com/documents/data-sheet/2N7002NXAK.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6161/1727%7ESOT23-3%7E%7E3.jpg,"1727-8643-2-ND,1727-8643-1-ND,1727-8643-6-ND",2N7002NXAKR,Nexperia USA Inc.,Nexperia USA Inc.,MOSFET N-CH 60V 190MA TO236AB,"2,62,632",11.13,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,N-Channel,MOSFET (Metal Oxide),60 V,"190mA (Ta), 300mA (Tc)","5V, 10V","4.5Ohm @ 100mA, 10V",2.1V @ 250µA,0.43 nC @ 4.5 V,±20V,20 pF @ 10 V,-,"265mW (Ta), 1.33W (Tc)",-55°C ~ 150°C (TJ),-,-,Surface Mount,TO-236AB,"TO-236-3, SC-59, SOT-23-3"
https://toshiba.semicon-storage.com/info/docget.jsp?did=29712&prodName=T2N7002AK,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/264_SOT-23-3%20PKG.jpg,"T2N7002AKLMTR-ND,T2N7002AKLMCT-ND,T2N7002AKLMDKR-ND","T2N7002AK,LM",Toshiba Semiconductor and Storage,Toshiba Semiconductor and Storage,MOSFET N-CH 60V 200MA SOT23,"2,47,560",11.13,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",U-MOSVII-H,Active,N-Channel,MOSFET (Metal Oxide),60 V,200mA (Ta),"4.5V, 10V","3.9Ohm @ 100mA, 10V",2.1V @ 250µA,0.35 nC @ 4.5 V,±20V,17 pF @ 10 V,-,320mW (Ta),150°C (TJ),-,-,Surface Mount,SOT-23-3,"TO-236-3, SC-59, SOT-23-3"
https://toshiba.semicon-storage.com/info/docget.jsp?did=30376&prodName=T2N7002BK,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2588/SOT-23-3%20PKG.jpg,"T2N7002BKLMTR-ND,T2N7002BKLMCT-ND,T2N7002BKLMDKR-ND","T2N7002BK,LM",Toshiba Semiconductor and Storage,Toshiba Semiconductor and Storage,MOSFET N-CH 60V 400MA SOT23-3,"2,708",11.98,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",U-MOSVII-H,Active,N-Channel,MOSFET (Metal Oxide),60 V,400mA (Ta),"4.5V, 10V","1.5Ohm @ 100mA, 10V",2.1V @ 250µA,0.6 nC @ 4.5 V,±20V,40 pF @ 10 V,-,320mW (Ta),150°C (TJ),-,-,Surface Mount,SOT-23-3,"TO-236-3, SC-59, SOT-23-3"
https://www.diodes.com/assets/Datasheets/2N7002K.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4806/31%7ESOT23-3%7EF%2CN%2CSA%7E3.JPG,"2N7002K-7DITR-ND,2N7002K-7DICT-ND,2N7002K-7DIDKR-ND",2N7002K-7,Diodes Incorporated,Diodes Incorporated,MOSFET N-CH 60V 380MA SOT23-3,"4,18,614",12.84,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,N-Channel,MOSFET (Metal Oxide),60 V,380mA (Ta),"5V, 10V","2Ohm @ 500mA, 10V",2.5V @ 1mA,0.3 nC @ 4.5 V,±20V,50 pF @ 25 V,-,370mW (Ta),-55°C ~ 150°C (TJ),-,-,Surface Mount,SOT-23-3,"TO-236-3, SC-59, SOT-23-3"
https://www.diodes.com/assets/Datasheets/ds11303.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4806/31%7ESOT23-3%7EF%2CN%2CSA%7E3.JPG,"2N7002-FDITR-ND,2N7002-FDICT-ND,2N7002-FDIDKR-ND",2N7002-7-F,Diodes Incorporated,Diodes Incorporated,MOSFET N-CH 60V 115MA SOT23-3,"10,89,826",13.69,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,N-Channel,MOSFET (Metal Oxide),60 V,115mA (Ta),"5V, 10V","7.5Ohm @ 50mA, 5V",2.5V @ 250µA,-,±20V,50 pF @ 25 V,-,370mW (Ta),-55°C ~ 150°C (TJ),-,-,Surface Mount,SOT-23-3,"TO-236-3, SC-59, SOT-23-3"
https://assets.nexperia.com/documents/data-sheet/2N7002P.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6161/1727%7ESOT23-3%7E%7E3.jpg,"1727-4692-2-ND,1727-4692-1-ND,1727-4692-6-ND","2N7002P,215",Nexperia USA Inc.,Nexperia USA Inc.,MOSFET N-CH 60V 360MA TO236AB,"5,85,145",13.69,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Not For New Designs,N-Channel,MOSFET (Metal Oxide),60 V,360mA (Ta),10V,"1.6Ohm @ 500mA, 10V",2.4V @ 250µA,0.8 nC @ 4.5 V,±20V,50 pF @ 10 V,-,350mW (Ta),-55°C ~ 150°C (TJ),Automotive,AEC-Q101,Surface Mount,TO-236AB,"TO-236-3, SC-59, SOT-23-3"
https://www.diodes.com/assets/Datasheets/BSS138.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4806/31%7ESOT23-3%7EF%2CN%2CSA%7E3.JPG,"BSS138-FDITR-ND,BSS138-FDICT-ND,BSS138-FDIDKR-ND",BSS138-7-F,Diodes Incorporated,Diodes Incorporated,MOSFET N-CH 50V 200MA SOT23-3,"3,69,715",13.69,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,N-Channel,MOSFET (Metal Oxide),50 V,200mA (Ta),10V,"3.5Ohm @ 220mA, 10V",1.5V @ 250µA,-,±20V,50 pF @ 10 V,-,300mW (Ta),-55°C ~ 150°C (TJ),-,-,Surface Mount,SOT-23-3,"TO-236-3, SC-59, SOT-23-3"
https://www.diodes.com/assets/Datasheets/BSS84Q.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4806/31%7ESOT23-3%7EF%2CN%2CSA%7E3.JPG,"31-BSS84Q-13-FTR-ND,31-BSS84Q-13-FCT-ND,31-BSS84Q-13-FDKR-ND",BSS84Q-13-F,Diodes Incorporated,Diodes Incorporated,BSS FAMILY SOT23 T&R 10K,"27,641",13.69,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,P-Channel,MOSFET (Metal Oxide),50 V,130mA (Ta),5V,"10Ohm @ 100mA, 5V",2V @ 1mA,0.59 nC @ 10 V,±20V,45 pF @ 25 V,-,300mW (Ta),-55°C ~ 150°C (TJ),Automotive,AEC-Q101,Surface Mount,SOT-23-3,"TO-236-3, SC-59, SOT-23-3"
